newid,ind,hsize,hsize1,relationship,date,sex,age,marital,migrant,migrant_any,village,madrasa,madrasa_year,school,student,currgrade,maxgrade,paeduc,maeduc,ill,disable,disable_perm,hrelig,religious,jumma,waqt,wrkstat,mo_remit,occ1,hrs_wk1,days_wk1,mo_yr1,tenure1,mo_wageinc1,mo_nonwageinc1,occ2,hrs_wk2,days_wk2,mo_yr2,tenure2,mo_wageinc2,mo_nonwageinc2,microf,microf_name1,microf_name2,microf_name3,mo_microf,microloan_curr1,microloan_curr2,curr_mig,migr_perm,migrcurr_dur,migrcurr_country,migrcurr_occ,migrcurr_inc,migrcurr_hrswk,migrcurr_remmo,migr1_dur,migr1_country,migr1_occ,migr1_inc,migr1_hrswk,migr1_remmo,happy,happy_future,wwactivities,ystrhappy,ystrworry,ystrdepress,satcur_livstandard,satcur_health,satcur_achieve,satcur_fam,satcur_safe,satcur_comm,satcur_finsec,satcur_leistime,satcur_socenv,satcur_job,cur_overworked,curtrust_employer,curtrust_coworker,sat5yr_livstandard,sat5yr_health,sat5yr_achieve,sat5yr_fam,sat5yr_safe,sat5yr_comm,sat5yr_finsec,sat5yr_leistime,sat5yr_socenv,sat5yr_job,overworked_5yr,trust_neighb_5yr,trust_locgov_5yr,trust_employer_5yr,trust_religlead_5yr,trust_coworker_5yr,trust_relatives_5yr,status_prof,relfinan_profession,relfinan_siblings,relfinan_schoolmates,relfinan_neighbors,relfinan_parents,relfinan_extendedfam,relfinan_others,happy_past,curtrust_neighb,curtrust_locgov,curtrust_religlead,curtrust_relatives,global_stat_perc,ownhouse,housetype,cookroom,mainrooms,othrooms,bath_flush,bath_pitlat,bath_bucket,bath_hanging,hhactivity1,hhactivity2,hhactivity3,hhincsource1,hhincsource2,hhincsource3,land_ownop,land_rentedout,land_notown,drinkwater1,drinkwater2,washwater1,washwater2,light1,light2,light3,cookfuel1,cookfuel2,cookfuel3,electricity,naturalgas,generator,phone,cow,chicken,duck,buffalo,goat_sheep,helpers,nonwage_farm,nonwage_nonfarm,govttransfer,other_inc,currinc_2yrsago,currinc_2yrafter,exp_groc,exp_util,exp_hrent,exp_hrelated,exp_school,exp_health,exp_cloth,exp_transport,exp_furniture,exp_recreat,exp_eid,exp_tax,exp_mo,wedding,cost_wedding,birth,cost_birth,death,cost_death,medical,cost_medical,migration_rel,cost_migr,event_other,cost_other,own_weaving1,own_weaving2,own_weaving2flag,own_weaving3,own_weaving4,own_house1,own_house2,own_house2flag,own_house3,own_house4,own_computer1,own_computer2,own_computer2flag,own_computer3,own_computer4,own_cell1,own_cell2,own_cell2flag,own_cell3,own_cell4,own_generator1,own_generator2,own_generator2flag,own_generator3,own_generator4,own_car1,own_car2,own_car2flag,own_car3,own_car4,own_boatp1,own_boatp2,own_boatp2flag,own_boatp3,own_boatp4,own_boatr1,own_boatr2,own_boatr2flag,own_boatr3,own_boatr4,own_rickshaw1,own_rickshaw2,own_rickshaw2flag,own_rickshaw3,own_rickshaw4,own_bicycle1,own_bicycle2,own_bicycle2flag,own_bicycle3,own_bicycle4,own_cart1,own_cart2,own_cart2flag,own_cart3,own_cart4,own_almirah1,own_almirah2,own_almirah2flag,own_almirah3,own_almirah4,own_tractor1,own_tractor2,own_tractor2flag,own_tractor3,own_tractor4,own_television1,own_television2,own_television2flag,own_television3,own_television4,own_fridge1,own_fridge2,own_fridge2flag,own_fridge3,own_fridge4,own_bike1,own_bike2,own_bike2flag,own_bike3,own_bike4,madrasa_binary,day,dayofweek
1425,0,4,3,"Householdhead","3/7/13","Male",22,"Married","Non","International migrants","Shatihati","0",0,10,"No",.n,10,0,0,"No","No",.n,"Muslim","Moderate","Never",0,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Completely satisfied","Better","Completely satisfied","All day","Not at all","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",.m,"N",.m,.m,"Same","Same","Same","Same","Same","Same","Same","Same",.m,.m,"N","Y","Y",.m,"Y",.m,"Y",,.m,"Worse",.m,"Same","Higher",.m,.m,"Worse","Yes","Yes","Yes","Yes",.m,"Owned","Semi-pucca","Y",1,0,0,1,0,0,"Service","Service",.n,"Remittance","Remittance",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,3,0,0,0,0,0,0,0,0,"Same","Higher",4000,200,0,100000,0,0,200,0,0,0,20000,40,7000,0,.n,1,.m,0,.m,1,1000000,0,.m,0,.n,"O",2007,"",30000,"N","O",2012,"",40000,"Y","N",.n,"",.n,.n,"O",2009,"",1000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2013,"",5000,"Y","N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1426,0,3,2,"Householdhead","3/7/13","Female",20,"Married","Non","International migrants","Shatihati","0",0,7,"No",.n,7,5,6,"No","No",.n,"Muslim","Moderate","Irregular",3,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"Yes","Other",.n,.n,36,20000,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Completely satisfied","Better","Completely satisfied","All day","Not at all","Not at all","Satisfied","Completely satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",.m,"N",.m,.m,"Same","Same","Same","Same","Same","Same","Same","Same","Same",.m,"N","Y","Y",.m,"Y",.m,"Y",,.m,.m,.m,"Worse","Higher",.m,.m,"Worse","Yes","Yes","Yes","Yes",.m,"Owned","Kacha","Y",1,0,0,1,0,0,"Service","Service",.n,"Remittance","Remittance",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,8,0,0,0,0,0,0,0,0,"Same","Higher",2400,200,0,0,200,300,200,0,0,0,0,40,5000,0,.n,.m,.n,0,.m,0,.n,0,.m,0,.n,"N",.n,"",.n,.n,"O",2011,"",30000,"Y","N",.n,"",.n,.n,"O",2009,"",1000,"Y","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1427,0,2,2,"Householdhead","3/7/13","Female",50,"Married","Non","No migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Very","Regular",5,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied","Better","Satisfied","All day","Not at all","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",.m,"N",.m,.m,"Same","Same","Same","Same","Same","Same","Same",.m,"Same",.m,"N","Y","Y",.m,"Y",.m,"Y",,.m,"Higher",.m,"Higher","Same",.m,.m,"Same","Yes","Yes","Yes","Yes",.m,"Owned","Semi-pucca","Y",2,0,0,1,0,0,.n,.n,.n,.n,.n,.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,4,0,0,0,0,0,0,0,10000,"Higher",0,2800,30,0,0,0,1000,200,0,0,130,0,0,5000,1,100000,.m,.n,0,.m,0,.n,0,.m,0,.n,"N",.n,"",.n,.n,"O",1993,"",30000,.m,"N",.n,"",.n,.n,"O",2006,"",1000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2007,"",3000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1428,0,4,3,"Householdhead","3/7/13","Male",40,"Married","Non","Domestic migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Moderate","Regular",0,"Employed",.n,"Weaving",8,6,12,3,6000,.m,.m,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Completely satisfied","Better","Completely satisfied","Not much","Somewhat","Not much","Satisfied","Completely satisfied","Satisfied","Completely satisfied","Completely satisfied","Completely satisfied","Completely satisfied","Completely Satisfied","Somewhat unsatisfied","Completely Satisfied","N",.m,"Y","Worse","Worse","Same","Same","Same","Same","Worse","Same",.m,"Same","N","Y","Y",.m,"Y","Y","Y",5,"Same","Same",.m,"Worse","Worse",.m,.m,"Worse","Yes","Yes","Yes","Yes",5,"Owned","Kacha","Y",1,0,0,1,0,0,"Service","Service",.n,"Service","Service",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Kerosense",.m,.m,"Firewood",.m,.m,"N","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Lower","Higher",6000,0,0,0,500,300,200,200,0,0,10000,40,6000,0,.n,0,.n,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"O",2010,"",10000,.n,"N",.n,"",.n,.n,"O",2007,"",1500,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1429,0,2,2,"Householdhead","3/7/13","Male",70,"Married","Non","No migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","Yes",.n,"Muslim","Moderate","Regular",1,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied",.m,"Satisfied","All day","Not at all","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",.m,.m,"Y","Y","Y","Same","Same","Same","Same","Same","Same","Same","Same","Same",.m,.m,"Y","Y",.m,"Y",.m,"Y",,.m,"Same",.m,"Same","Higher",.m,.m,"Same","Yes",.m,.m,"Yes",.m,"Owned","Kacha","Y",2,0,0,1,0,0,"Others","Others",.n,"Income Recipient","Income Recipient",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,0,0,0,0,0,0,0,0,4000,0,0,2000,250,0,0,0,500,200,0,0,0,0,40,4000,0,.n,.m,.n,0,.m,0,.n,0,.m,0,.n,"N",.n,"",.n,.n,"O",2003,"",.m,.m,"N",.n,"",.n,.n,"O",2008,"",1000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1430,0,4,4,"Householdhead","3/7/13","Male",40,"Married","Non","No migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Moderate","Irregular",1,"Employed",.n,"Weaving",8,6,12,25,5000,.m,.m,.c,.c,.c,.c,.n,.n,"Yes","Grameen Bank",.n,.n,150,5000,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Somewhat unsatisfied","Better","Satisfied","Quite a bit","Not much","Not at all","Somewhat unsatisfied","Satisfied","Satisfied","Satisfied","Somewhat unsatisfied","Somewhat unsatisfied","Satisfied","Satisfied","Somewhat unsatisfied","Completely Satisfied","N",.m,"Y","Better","Same","Same","Same","Same","Same","Same","Same","Same","Same","N","N","N",.m,"Y","Y","N",2,"Worse","Same",.m,"Worse","Worse",.m,.m,"Better","No","No","Yes","No",2,"Owned","Kacha","Y",1,0,0,1,0,0,"Manufacture","Manufacture",.n,"Manufacture","Manufacture",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Kerosense",.m,.m,"Firewood",.m,.m,"N","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Higher","Higher",6400,0,0,0,500,500,200,0,0,0,1500,40,8000,0,.n,0,.n,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"O",2012,"",.m,.n,"N",.n,"",.n,.n,"O",2011,"",800,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
143,0,3,3,"Householdhead","22/6/13","Male",25,"Married","Non","No migrants","Bankina","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Moderate","Irregular",0,"Employed",.n,"Weaving",8,7,12,7,8000,.c,.m,.c,.c,.c,.c,.n,.n,"Yes","Other",.n,.n,3,10000,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Quite satisfied","Better","Quite satisfied",.m,.m,.m,"Quite satisfied","Completely satisfied","Quite satisfied","Quite satisfied","Completely satisfied","Completely satisfied","Somewhat unsatisfied","Somewhat unsatisfied","Quite satisfied",.m,"Y",.m,.m,"Worse","Same","Same","Worse","Same","Same","Worse","Same","Worse","Worse","N",.m,"Y",.m,"N",.m,"Y",7,"Same","Much worse",.m,"Same","Much worse","Same",.m,"Better","Yes","Yes","Yes",.m,7,"Owned","Kacha","Y",2,0,0,1,0,0,"Manufacture","Manufacture",.n,"Manufacture","Manufacture",.n,4,0,0,"Piped Water",.m,"Piped Water",.m,"Kerosense",.m,.m,"Firewood",.m,.m,"N","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Higher","Higher",4000,1000,0,10000,0,1000,800,100,10000,600,1500,0,5000,1,20000,1,5000,0,.n,1,5000,1,220000,0,.n,"O",2007,"",2000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2013,"",3000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,3,1
1431,0,9,8,"Householdhead","3/7/13","Male",40,"Married","Non","International migrants","Shatihati","0",0,5,"No",.n,5,8,0,"No","No",.n,"Muslim","Moderate","Regular",5,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"Yes","Other",.n,.n,120,1000,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Somewhat unsatisfied",.m,"Satisfied","Not much","Somewhat","Not at all","Satisfied","Somewhat unsatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",.m,.m,.m,.m,"Better","Better","Same","Same","Same","Same","Same","Same","Same",.m,.m,"Y","Y",.m,"Y",.m,"Y",5,.m,"Same",.m,"Same","Higher",.m,.m,"Better","Yes","Yes","Yes","Yes",5,"Owned","Semi-pucca","Y",2,1,0,1,0,0,"Service","Service",.n,"Service","Service",.n,50,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,4,0,0,0,0,0,0,0,0,"Lower","Lower",6000,300,0,0,2000,300,500,0,0,0,30000,50,12000,0,.n,.m,.n,0,.m,0,.n,0,.m,0,.n,"O",2008,"",2000,"N","O",1999,"",80000,"N","N",.n,"",.n,.n,"O",2010,"",1000,"N","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",1997,"",3000,"N","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2003,"",5000,"N","N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1432,0,10,9,"Householdhead","3/7/13","Male",62,"Married","Non","International migrants","Shatihati","0",0,9,"No",.n,9,0,0,"No","No",.n,"Muslim","Moderate","Regular",5,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,"Y","Y",.m,"Y",.m,"Y",,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,"Yes",.m,"Owned","Semi-pucca","Y",2,2,0,1,0,0,"Service","Service",.n,"Remittance","Remittance",.n,250,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","N",0,0,0,0,0,0,0,0,0,0,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,15000,2,50000,3,15000,0,.m,1,15000,0,.m,0,.n,"N",.n,"",.n,.n,"O",2010,"",500000,"Y","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2004,"",.c,.m,"O",2005,"",.m,"Y","O",.m,"",.c,"Y",1,14,5
1433,0,3,3,"Householdhead","3/7/13","Female",25,"Married","Non","No migrants","Shatihati","0",0,8,"No",.n,8,.m,5,"No","No",.n,"Muslim","Moderate","Never",2,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied","Better","Satisfied","Somewhat","Not at all","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",.m,"N",.m,.m,"Same","Same","Same","Same","Same","Same","Same","Same","Same",.m,"N","Y","Y",.m,"Y",.m,"Y",,.m,"Higher",.m,"Same","Same",.m,.m,"Worse","Yes","Yes","Yes","Yes",.m,"Owned","Semi-pucca","Y",2,0,0,1,0,0,"Service","Service",.n,"Service","Service",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Higher",0,2000,200,0,30000,0,0,200,200,100000,150,20000,40,10000,0,.n,1,.m,0,.m,0,.n,0,.m,0,.n,"O",2008,"",2000,.m,"O",2003,"",10000,.m,"N",.n,"",.n,.n,"O",2009,"",1000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2010,"",3000,.m,"N",.n,"",.n,.n,"O",2011,"",3000,.m,"O",2011,"",10000,.m,"O",2010,"",3000,.m,1,14,5
1434,0,4,4,"Householdhead","3/7/13","Male",24,"Married","Non","No migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Moderate","Irregular",2,"Employed",.n,"Agricultural Labourer",8,7,6,18,5000,.n,.m,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied","Better","Satisfied","Somewhat","Somewhat","Somewhat","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Y","Y","Y","Worse","Worse","Better","Better","Better","Better","Better","Better","Better","Better","Y","Y","Y","Y","Y","Y","Y",5,.m,"Higher",.m,"Higher","Higher",.m,.m,"Worse","Yes","Yes","Yes","Yes",5,"Owned","Kacha","Y",1,0,0,1,0,0,.n,"Agriculture","Service",.n,"Agriculture","Service",0,0,0,"Tube Well",.m,"Tube Well",.m,"Solar Panel",.m,.m,"Firewood",.m,.m,"N","N","N","Y",0,0,0,0,0,0,0,0,0,0,0,0,4000,500,0,0,400,0,700,400,0,700,5000,60,5000,0,.n,.m,.n,2,20000,0,.n,0,.m,0,.n,"N",.n,"",.n,.n,"O",1973,"",200000,"N","N",.n,"",.n,.n,"O",2013,"",500,"N","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1435,0,5,5,"Householdhead","3/7/13","Male",75,"Married","Non","No migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim",.m,"Regular",0,"Employed",.n,"Agricultural Labourer",7,7,12,30,4000,.n,.m,.c,.c,.c,.c,.n,.n,"Yes","Asha",.n,.n,19,16000,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not at all satisfied","Better","Satisfied","Somewhat","Somewhat","Somewhat","Satisfied","Not at all satisfied","Satisfied","Satisfied","Not at all satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Y","Y","Y","Better","Better","Better","Better","Better","Better","Better","Better","Better","Better","Y","Y","Y","Y","Y","Y","Y",,.m,"Worse","Much higher","Worse",.m,"Worse",.m,"Better","Yes","Yes","Yes","Yes",.m,"Owned","Kacha","Y",1,0,0,1,0,0,"Agriculture","Agriculture",.n,"Agriculture","Agriculture",.n,2,0,0,"Tube Well",.m,"Tube Well",.m,"Kerosense",.m,.m,"Dung/leaves/straw",.m,.m,"N","N","N","Y",0,0,10,0,0,0,0,0,0,0,"Lower","Lower",2000,0,0,0,100,200,200,0,2000,60,4000,0,4000,0,.n,.m,.n,0,.m,0,.n,0,.m,0,.n,"N",.n,"",.n,.n,"O",1975,"",150000,"N","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1436,0,5,4,"Householdhead","3/7/13","Female",35,"Married","Non","Domestic migrants","Shatihati","0",0,3,"No",.n,3,2,0,"No","No",.n,"Muslim","Very","Regular",5,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied","Better","Satisfied","Somewhat","Somewhat","Somewhat","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Y","Y","Y","Better","Better","Better","Better","Better","Better","Better","Better","Better","Better","Y","Y","Y","Y","Y","Y","Y",5,.m,"Worse",.m,"Higher","Worse","Worse",.m,"Worse","Yes","Yes","Yes","Yes",5,"Owned","Kacha","Y",1,1,0,1,0,0,"Service","Service",.n,"Service","Service",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Kerosense",.m,.m,"Firewood",.m,.m,"N","N","N","Y",0,5,6,0,0,0,0,0,0,0,"Higher","Lower",6000,1500,0,100000,3000,300,100,500,0,0,40000,60,15000,1,200000,.m,.n,0,.m,0,.n,0,.m,0,.n,"N",.n,"",.n,.n,"O",2007,"",600000,"N","N",.n,"",.n,.n,"O",2000,"",500,"N","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2013,"",5000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
1437,0,6,6,"Householdhead","3/7/13","Male",42,"Married","Non","No migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","Yes","Temporary","Muslim","Not","Irregular",0,"Employed",.n,.m,.c,.c,.c,.c,.n,.n,.m,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied","Better","Satisfied","Not at all","Not at all","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Y","Y","Y","Better","Better","Better","Better","Better","Better","Better","Better","Better","Better","Y","Y","Y","Y","Y","Y","Y",5,.m,"Same",.m,"Worse","Same","Worse",.m,"Better","Yes","Yes","Yes","Yes",5,"Owned","Kacha","Y",1,1,0,1,0,0,"Agriculture","Agriculture",.n,.n,"Agriculture","Service",6,0,0,"Tube Well",.m,"Tube Well",.m,"Kerosense",.m,.m,"Dung/leaves/straw",.m,.m,"N","N","N","Y",0,2,4,0,0,0,0,0,0,0,"Lower","Higher",.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,,.m,,0,.n,.m,.n,0,.m,0,.n,0,.m,0,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,14,5
